timestamp,paper,entry_id,kind,status,statement,needed_evidence_type,result_ref,discharged_by,node_ids,dependencies,git_commit,actor_role,blocking,iteration,notes,owner,row_hash,scope,source_ids,task_id,working_context.board,working_context.cap,working_context.cause,working_context.cfg,working_context.coupling,working_context.cuda,working_context.cudnn,working_context.eval,working_context.evidence,working_context.export,working_context.family,working_context.gating,working_context.gpu,working_context.gpus,working_context.hazard,working_context.keys,working_context.knobs,working_context.model,working_context.net,working_context.node,working_context.pos_len,working_context.scratch,working_context.source_priority,working_context.torch
2026-09-04T02:04:57.201762+00:00,arxiv-1902.10565,c01_env_build_runs,claim,in_progress,"KataGo v1.18.2 built with USE_BACKEND=CUDA against the pip cuDNN 9.x wheel, plus a torch 2.11.0+cu128 venv, runs katago runtests and a b5c48h3tfr benchmark at -boardsize 9 on a B200 node (exit 0).",numerical_simulation,,,"[""arxiv-1902.10565::env_build""]","[""arxiv-1902.10565::env_build""]",17ce80a,worker,,,,worker env_build (job 297952),9f4df667663e5ca8f05c2afb8af4a4f5b69db65fd8be635f899f57910f9ca726,,"[""code_lightvector-KataGo""]",env_build,,,,,,12.8.1,nvidia-cudnn-cu12>=9.8 wheel,,,,,,,,,,,,,gb2xx B200 sm_100,,,,2.11.0+cu128
2026-09-04T02:04:57.267791+00:00,arxiv-1902.10565,c02_sm100_sass_or_jit,claim,open,The built katago binary either contains sm_100 SASS (cuobjdump --list-elf | grep -c sm_100 > 0) or runs all kernels correctly via compute_90 PTX JIT on B200/B300 with no launch failures in benchmark and selfplay.,numerical_simulation,,,"[""arxiv-1902.10565::env_build""]","[""arxiv-1902.10565::env_build""]",17ce80a,worker,,,,worker env_build,1e29b92ddb5a6e58231586a91d82917f2127cced13287cc45fcfd023de83891e,,"[""code_lightvector-KataGo""]",env_build,,,cpp/CMakeLists.txt:761 sets CMAKE_CUDA_ARCHITECTURES without 100 for CUDA 12.8 (unconditional set),,,,,,,,,,,,,,,,,,,,,
2026-09-04T02:04:57.327528+00:00,arxiv-1902.10565,c03_tf_export_loads,claim,open,"A random-initialized b5c48h3tfr exported by export_model_pytorch.py contains only block kinds transformer_attention_block / transformer_ffn_block and is accepted by cpp/neuralnet/desc.cpp (no 'unknown block kind'), running >0 visits/s in katago benchmark -boardsize 9.",numerical_simulation,,,"[""arxiv-1902.10565::tiny_model_export_smoke""]","[""arxiv-1902.10565::tiny_model_export_smoke"", ""arxiv-1902.10565::transformer_trunk_b5c48h3tfr""]",17ce80a,worker,,,,worker,7e87fd5c6dc89b2128c734366e05258be4e7e57b5b45ab477e45eef7b2eae272,,"[""code_lightvector-KataGo""]",tiny_model_export_smoke,,,,,,,,,,python/export_model_pytorch.py:469-504,,,,,,,,b5c48h3tfr attnrope+ffng,,,,,,
2026-09-04T02:04:57.381932+00:00,arxiv-1902.10565,c04_9x9_only_games,claim,open,"With the mission selfplay_9x9.cfg (bSizes=9, bSizeRelProbs=1, allowRectangleProb=0) every SGF produced by katago selfplay carries SZ[9] and no other size appears (grep -L 'SZ\[9\]' over selfplay/*/sgfs returns nothing).",numerical_simulation,,,"[""arxiv-1902.10565::cfg_9x9_override"", ""arxiv-1902.10565::selfplay_stage""]","[""arxiv-1902.10565::cfg_9x9_override""]",17ce80a,worker,,,,worker,35fa538b2974c07d8b2222064e6fe2618017bd4b708dd4ad78980500b7020590,,"[""code_lightvector-KataGo""]",cfg_9x9_override,,,,mission copy of selfplay1_maxsize9.cfg,,,,,,,,,,,,,,,,,,,,
2026-09-04T02:04:57.437166+00:00,arxiv-1902.10565,c05_pos_len_9_pipeline,claim,open,"With dataBoardLen=9 in the selfplay cfg and -pos-len 9 in train.py, one shuffle + one training epoch complete on 9x9 data (data_processing_pytorch.py:91 shape assert passes, exit 0) and the npz row size is 2145 B uncompressed.",numerical_simulation,,,"[""arxiv-1902.10565::shuffle_stage"", ""arxiv-1902.10565::train_stage"", ""arxiv-1902.10565::data_format_pos_len""]","[""arxiv-1902.10565::data_format_pos_len""]",17ce80a,worker,,,,worker,079e6b3bfbf25e57846c480392a6545a75852c50dd25cb20216e22205ee86f32,,"[""code_lightvector-KataGo""]",shuffle_stage,,,,,selfplay1_maxsize9.cfg:16 dataBoardLen vs train.sh:88 -pos-len,,,,,,,,,,,,,,,,,,,
2026-09-04T02:04:57.492258+00:00,arxiv-1902.10565,c06_threads_le_24,claim,open,"With numGameThreads=18, numSearchThreads=1, numNNServerThreadsPerModel=1 the live selfplay process has <= 24 OS threads (ps -o nlwp), and with numGameThreads=20 the gatekeeper has <= 24; train.py with OMP_NUM_THREADS=4 stays <= 24.",empirical_measurement,,,"[""arxiv-1902.10565::cfg_9x9_override"", ""arxiv-1902.10565::selfplay_stage""]","[""arxiv-1902.10565::selfplay_search_params""]",17ce80a,worker,,,,worker,17deee437283f23f36c15a8c2cdce17a37b214cdf6a313d5c941071bf7a1ce10,,"[""code_lightvector-KataGo""]",cfg_9x9_override,,24 CPUs per job (20% of 124),,,,,,,,,,,,,,,,,,,,,,
2026-09-04T02:04:57.547553+00:00,arxiv-1902.10565,c07_loop_cycle_completes,claim,open,One cycle of the mission synchronous loop (gatekeeper -> selfplay -> shuffle -> train -> export) completes on 1 GPU with tiny knobs and leaves a new models/<name>/model.bin.gz that katago loads.,numerical_simulation,,,"[""arxiv-1902.10565::synchronous_loop_smoke""]","[""arxiv-1902.10565::synchronous_loop_smoke""]",17ce80a,worker,,,,worker,7c21620c01b561ffed55e3d50a9b81aa71c7fc47caea3ca1442b1b19f1f54cc2,,"[""code_lightvector-KataGo""]",synchronous_loop_smoke,,,,,,,,,,,,,,1,,,"NUM_GAMES_PER_CYCLE~20, SHUFFLE_MINROWS~200, samples-per-epoch~2000",,,,,,,
2026-09-04T02:04:57.593994+00:00,arxiv-1902.10565,c08_resume_no_loss,claim,open,"Killing the loop job mid-train and mid-export and re-submitting resumes from checkpoint.ckpt with the same train_state row counter, loses no completed npz, and leaves no orphan *.exported dir that hides a checkpoint.",numerical_simulation,,,"[""arxiv-1902.10565::loop_resume_under_walltime""]","[""arxiv-1902.10565::loop_resume_under_walltime"", ""arxiv-1902.10565::train_resume_semantics""]",17ce80a,worker,,,,worker,4f47d94ad7f3d6c8cb257c8ec8231101ddf9c436f4e7f3c542b02b5ae03aabfc,,"[""code_lightvector-KataGo""]",loop_resume_under_walltime,,,,,,,,,,,,,,,export_model_for_selfplay.sh:89 rm before :108 mv,,,,,,,,,
2026-09-04T02:04:57.647176+00:00,arxiv-1902.10565,c09_selfplay_rate,claim,open,"katago selfplay at production knobs (maxVisits 600, cheapSearchVisits 100, cheapSearchProb 0.75, numGameThreads 18) on one B200 sustains a measured and recorded games/hour and mean moves/game on 9x9; the 4-40x selfplay:train ratio is then re-derived from the measured train samples/s.",empirical_measurement,,,"[""arxiv-1902.10565::selfplay_stage""]","[""arxiv-1902.10565::selfplay_stage""]",17ce80a,worker,,,,worker,7c8a6fa1e244e619df59e67c3b9a69a5bcf4352d71c391fd8879b92f76a8d064,,"[""code_lightvector-KataGo""]",selfplay_stage,9,,,,,,,,,,,,1x B200,,,,,,,,,,,
2026-09-04T02:04:57.715539+00:00,arxiv-1902.10565,c10_rows_per_game,claim,open,"Recorded training rows per 9x9 game lie in [12, 35] (expected ~22 = ~0.27 rows/turn x ~80 turns, because cheapSearchTargetWeight=0 zeroes 75% of turns) and on-disk bytes per game are <= 10 KB at pos_len 9.",empirical_measurement,,,"[""arxiv-1902.10565::selfplay_stage"", ""arxiv-1902.10565::data_budget""]","[""arxiv-1902.10565::data_format_pos_len"", ""arxiv-1902.10565::playout_cap_randomization""]",17ce80a,worker,,,,worker,c8e0ba5d6428243aa9a7d941e11013fe9d31d9405d71f6de63208832d52532cb,,"[""code_lightvector-KataGo""]",data_budget,,,,,,,,,,,,,,,,"cheapSearchProb 0.75, cheapSearchTargetWeight 0.0, sidePositionProb 0.02",,,,,,,,
